collected_at,rank,name,appid,player_count
2026-02-19T23:45:02,8,"HELLDIVERS™ 2",553850,84607
2026-02-19T23:45:02,9,"Overwatch®",2357570,93454
2026-02-19T23:45:02,10,"Geometry Dash",322170,46587
2026-02-20T00:00:01,1,"Counter-Strike 2",730,695138
2026-02-20T00:00:01,2,"Dota 2",570,466722
2026-02-20T00:00:01,3,"PUBG: BATTLEGROUNDS",578080,156652
2026-02-20T00:00:01,4,"Wallpaper Engine",431960,65580
2026-02-20T00:00:01,5,"ARC Raiders",1808500,154587
2026-02-20T00:00:01,6,Terraria,105600,70081
2026-02-20T00:00:01,7,"Apex Legends™",1172470,70525
2026-02-20T00:00:01,8,"HELLDIVERS™ 2",553850,79153
2026-02-20T00:00:01,9,"Overwatch®",2357570,87675
2026-02-20T00:00:01,10,"Geometry Dash",322170,44769
2026-02-20T00:15:02,1,"Counter-Strike 2",730,701963
2026-02-20T00:15:02,2,"Dota 2",570,466722
2026-02-20T00:15:02,3,"PUBG: BATTLEGROUNDS",578080,177782
2026-02-20T00:15:02,4,"Wallpaper Engine",431960,68536
2026-02-20T00:15:02,5,"ARC Raiders",1808500,147120
2026-02-20T00:15:02,6,Terraria,105600,68993
2026-02-20T00:15:02,7,"Apex Legends™",1172470,72494
2026-02-20T00:15:02,8,"HELLDIVERS™ 2",553850,76176
2026-02-20T00:15:02,9,"Overwatch®",2357570,83916
2026-02-20T00:15:02,10,"Geometry Dash",322170,41527
2026-02-20T00:30:02,1,"Counter-Strike 2",730,714719
2026-02-20T00:30:02,2,"Dota 2",570,472543
2026-02-20T00:30:02,3,"PUBG: BATTLEGROUNDS",578080,190785
2026-02-20T00:30:02,4,"Wallpaper Engine",431960,68536
2026-02-20T00:30:02,5,"ARC Raiders",1808500,147120
2026-02-20T00:30:02,6,Terraria,105600,68635
2026-02-20T00:30:02,7,"Apex Legends™",1172470,75141
2026-02-20T00:30:02,8,"HELLDIVERS™ 2",553850,73538
2026-02-20T00:30:02,9,"Overwatch®",2357570,80617
2026-02-20T00:30:02,10,"Geometry Dash",322170,41527
2026-02-20T00:45:02,1,"Counter-Strike 2",730,728650
2026-02-20T00:45:02,2,"Dota 2",570,476506
2026-02-20T00:45:02,3,"PUBG: BATTLEGROUNDS",578080,204144
2026-02-20T00:45:02,4,"Wallpaper Engine",431960,71515
2026-02-20T00:45:02,5,"ARC Raiders",1808500,134656
2026-02-20T00:45:02,6,Terraria,105600,68264
2026-02-20T00:45:02,7,"Apex Legends™",1172470,77742
2026-02-20T00:45:02,8,"HELLDIVERS™ 2",553850,71061
2026-02-20T00:45:02,9,"Overwatch®",2357570,77657
2026-02-20T00:45:02,10,"Geometry Dash",322170,39065
2026-02-20T01:00:02,1,"Counter-Strike 2",730,741981
2026-02-20T01:00:02,2,"Dota 2",570,477626
2026-02-20T01:00:02,3,"PUBG: BATTLEGROUNDS",578080,216879
2026-02-20T01:00:02,4,"Wallpaper Engine",431960,73108
2026-02-20T01:00:02,5,"ARC Raiders",1808500,128152
2026-02-20T01:00:02,6,Terraria,105600,67754
2026-02-20T01:00:02,7,"Apex Legends™",1172470,80004
2026-02-20T01:00:02,8,"HELLDIVERS™ 2",553850,68279
2026-02-20T01:00:02,9,"Overwatch®",2357570,74846
2026-02-20T01:00:02,10,"Geometry Dash",322170,38265
2026-02-20T01:15:02,1,"Counter-Strike 2",730,753868
2026-02-20T01:15:02,2,"Dota 2",570,482892
2026-02-20T01:15:02,3,"PUBG: BATTLEGROUNDS",578080,229579
2026-02-20T01:15:02,4,"Wallpaper Engine",431960,73108
2026-02-20T01:15:02,5,"ARC Raiders",1808500,128152
2026-02-20T01:15:02,6,Terraria,105600,67156
2026-02-20T01:15:02,7,"Apex Legends™",1172470,83043
2026-02-20T01:15:02,8,"HELLDIVERS™ 2",553850,65748
2026-02-20T01:15:02,9,"Overwatch®",2357570,74846
2026-02-20T01:15:02,10,"Geometry Dash",322170,38265
2026-02-20T01:30:01,1,"Counter-Strike 2",730,773363
2026-02-20T01:30:01,2,"Dota 2",570,488027
2026-02-20T01:30:01,3,"PUBG: BATTLEGROUNDS",578080,242269
2026-02-20T01:30:01,4,"Wallpaper Engine",431960,75977
2026-02-20T01:30:01,5,"ARC Raiders",1808500,122333
2026-02-20T01:30:01,6,Terraria,105600,66867
2026-02-20T01:30:01,7,"Apex Legends™",1172470,85303
2026-02-20T01:30:01,8,"HELLDIVERS™ 2",553850,63712
2026-02-20T01:30:01,9,"Overwatch®",2357570,68524
2026-02-20T01:30:01,10,"Geometry Dash",322170,36359
2026-02-20T01:45:01,1,"Counter-Strike 2",730,791165
2026-02-20T01:45:01,2,"Dota 2",570,492230
2026-02-20T01:45:01,3,"PUBG: BATTLEGROUNDS",578080,253852
2026-02-20T01:45:01,4,"Wallpaper Engine",431960,77286
2026-02-20T01:45:01,5,"ARC Raiders",1808500,111597
2026-02-20T01:45:01,6,Terraria,105600,66704
2026-02-20T01:45:01,7,"Apex Legends™",1172470,87414
2026-02-20T01:45:01,8,"HELLDIVERS™ 2",553850,61716
2026-02-20T01:45:01,9,"Overwatch®",2357570,65777
2026-02-20T01:45:01,10,"Geometry Dash",322170,35461
2026-02-20T02:00:01,1,"Counter-Strike 2",730,805580
2026-02-20T02:00:01,2,"Dota 2",570,499010
2026-02-20T02:00:01,3,"PUBG: BATTLEGROUNDS",578080,263777
2026-02-20T02:00:01,4,"Wallpaper Engine",431960,78567
2026-02-20T02:00:01,5,"ARC Raiders",1808500,106139
2026-02-20T02:00:01,6,Terraria,105600,66481
2026-02-20T02:00:01,7,"Apex Legends™",1172470,89195
